Start,End,Tag,Annotation,Username
0:32,1:18, Booking Preference," Usually laptop, will use aggregation site like Orbitz/Hotwire/Priceline, depends on what package (air, hotel, car) needs for trip. Has used iPhone apps for those companies to book as well.",philipmurphy
1:36,2:40, Hotel Information," Price, Child friendly (toddler bed, crib bed), non-smoking, clean, quiet.",philipmurphy
3:59,4:42, Initial Impressions," Looks geared to a younger crowd, guy looking in party mode scares him as a single dad.",philipmurphy
4:55,5:50, Area of Interest," Scrolling up/down menu picker, click Social Status, about SPG - 'it's a preferred guest kind of thing', open ""Stays"", ""Explore"" (Brands), and ""More"" ",philipmurphy
5:50,5:55, Area of Interest," ""Keyless Settings"", suspects he can open doors with the app, pretty neat.",philipmurphy
6:19,7:20, Initial Impressions," App designed for members, allows you to book a room, imagery turns him off.",philipmurphy
7:21,8:24, Booking Process," ""Book"" -> enter dates, calendar blending together and makes him have to concentrate.",philipmurphy
9:49,10:50, Search Information," Not sure how the results are sorted, would prefer if they were sorted by price. Where is ""Distance"" from?",philipmurphy
11:16,11:35, Booking Process," Was not able to select any criteria in initial search, would have liked to have some filters (non-smoking, etc.)",philipmurphy
11:48,12:25, Search Information," Price, Ratings, and Location. Would like to filter out ones he can afford that are highly rated.",philipmurphy
12:29,13:10, Search Information, Would also like to see unique information about hotels that are kid-friendly or for adults. Also @18:30,philipmurphy
13:42,14:13, Choose Hotel," Sort results low-high shows hotels that are very far away, should not be in the search results.",philipmurphy
14:14,14:52, Choose Hotel," Grand Central Westin, great location for public transportation and affordable.",philipmurphy
14:52,15:21, Hotel Overview," Features -> Westin Kids Club, goodie bag full of toys and range of necessities.",philipmurphy
15:24,15:57, Hotel Overview," Missing toddler bed info. Smoke-free hotel is great, would like to see that and kid-friendly on front page for hotel",philipmurphy
16:14,17:21, Hotel Overview," Rates, non-refundable/prepaid, reading pre-paid room descriptions",philipmurphy
17:30,18:26, Hotel Overview," Non-refundable rate room, has enough information except if there is a toddler bed available. Would make a phone call to find out.",philipmurphy
20:21,21:02, Choose Room," Would like to see breakdown on charges and taxes to understand. @25, might  compare other hotels",philipmurphy
21:05,22:02, Choose Room," Also would like to see kid specific features, perhaps ask how many children in addition to how many adults and tailor experience to parents.",philipmurphy
22:09,23:03, Booking Reflection, May be sticker shock for people outside of New York.  ,philipmurphy
0:48,1:50, Booking Preference," Typically use iPhone or iPad to book hotels. Mostly iPhone, can do on the move and always have phone with her. iPad is second option, and calling is the last option. Desktop is a bizzare case.",Dipa
1:58,3:10, Hotel Information," Price (depends business or personal), Star rating, Guest rating (safety and comfort), amenities, rooms, parking and breakfast. Proximity to places of interest, transportation.",Dipa
3:26,4:06, Initial Impressions," + notifications, + location; Likes pictures, colors. Leisure and comfort, classy and good quality.",Dipa
4:09,4:52, Initial Impressions," Read promotion, would prefer ""About"" to be at the top of the menu picker since she is new to the program. Suggest move ""Social Status"" to bottom.",Dipa
6:08,, Initial Impressions," Select ""Book"", ""Stay"" is not obvious what you can do on the page, suggest having a descriptive sentence at the top. 6:28",Dipa
6:44,7:33, Initial Impressions," Select ""Explore"", don't know what SPG Categories is, unintuitive for a first time user. Suggest a small info icon to learn more.",Dipa
7:54,8:53, Initial Impressions," Like the visuals and not crowded, booking seems straightforward. Would like help in places where she's not familiar.",Dipa
9:11,10:27, Booking Process," Select ""Book"", enter destination, enter dates (likes the calendar view). After selecting check-in date, suggests having another tab for check-out date, then comments that it's alright.",Dipa
10:38,10:48, Booking Process, Would be nice if could have a dropdown rather than + or - for selecting rooms and adults.,Dipa
10:52,11:10, Booking Process," Expects option to enter children as well, and have that affect search results.",Dipa
11:12,12:07, Booking Process," Don't know why ""Lowest Standard Rate"" is locked, add Breakfast package.",Dipa
12:09,12:18, Booking Process," Don't see a search bar at the bottom, use ""Find"" at the top.",Dipa
12:19,12:38, Search Information," Like how quickly the results appeared, how could sort from low-high.",Dipa
12:38,13:22, Search Information," What is distance with respect to? Would like to be able to specify, suggest being able to enter a location.",Dipa
13:34,14:40, Search Information," Open ""Filters""  and filter by ""Amenities"", selecting Accessible, Internet Access, but doesn't see breakfast or feel like it's the 'normal list of amenities'",Dipa
14:42,15:38, Search Information," Doesn't see 'Hotel Stars' rating to sort by, tries out ""SPG Categories"" instead. Would like a mapping from Hotel Star to SPG Category if that is the case.",Dipa
16:03,17:00, Search Information," Would like to filter or sort by points of interest, especially if she is unfamiliar with the area, and then see it on a map.",Dipa
17:09,17:38, Search Information," Describing ""Map"" feature, has clearly not seen the ""Map "" button.",Dipa
18:21,18:55, Search Information," Cost is important, which is why she sorts from Low-High, and accessibility from points of interest for her.",Dipa
18:56,, Search Information," Likes how cost is clearly marked, and breakfast package price is listed. 19:22",Dipa
